"","publicationDate","country","total_awards","albumCount","lat","lon","continent"
"410","1971","Sweden",0,6,"59.3333333333333","18.05","Europe"
"411","1971","Switzerland",0,1,"46.9166666666667","7.466667","Europe"
"412","1971","Turkey",0,4,"39.9333333333333","32.866667","Europe"
"413","1971","United Kingdom",14,178,"51.5","-0.083333","Europe"
"414","1971","United States",11,443,"38.883333","-77","Central America"
"415","1971","Unknown",0,57,"Unknown","Unknown","Unknown"
"416","1972","Argentina",0,10,"-34.5833333333333","-58.666667","South America"
"417","1972","Australia",0,5,"-35.2666666666667","149.133333","Australia"
"418","1972","Austria",0,6,"48.2","16.366667","Europe"
"419","1972","Belgium",0,2,"50.8333333333333","4.333333","Europe"
"420","1972","Brazil",0,42,"-15.7833333333333","-47.916667","South America"
"421","1972","Cameroon",0,1,"3.86666666666667","11.516667","Africa"
"422","1972","Canada",0,22,"45.4166666666667","-75.7","Central America"
"423","1972","Chile",0,6,"-33.45","-70.666667","South America"
"424","1972","Croatia",0,1,"45.8","16","Europe"
"425","1972","Czech Republic",0,1,"50.0833333333333","14.466667","Europe"
"426","1972","Denmark",0,2,"55.6666666666667","12.583333","Europe"
"427","1972","Finland",0,6,"60.1666666666667","24.933333","Europe"
"428","1972","France",0,44,"48.8666666666667","2.333333","Europe"
"429","1972","Germany",0,55,"52.5166666666667","13.4","Europe"
"430","1972","Greece",1,4,"37.9833333333333","23.733333","Europe"
"431","1972","Hungary",0,1,"47.5","19.083333","Europe"
"432","1972","Ireland",0,8,"53.3166666666667","-6.233333","Europe"
"433","1972","Israel",0,6,"31.7666666666667","35.233333","Asia"
"434","1972","Italy",0,62,"41.9","12.483333","Europe"
"435","1972","Jamaica",0,6,"18","-76.8","North America"
"436","1972","Japan",0,2,"35.6833333333333","139.75","Asia"
